transaction_id,account_id,transaction_date,post_date,transaction_type,amount,balance_after,status,description
SAV_TXN_1000,SAV_1000,2023-01-31,2023-01-31,DEPOSIT,261.1998360578407,25702.855717292605,COMPLETED,Regular savings transaction
SAV_TXN_1001,SAV_1000,2023-08-20,2023-08-20,INTEREST,604.5467758671131,8447.919221588554,COMPLETED,Regular savings transaction
SAV_TXN_1002,SAV_1000,2023-08-10,2023-08-10,DEPOSIT,480.14509222266736,8077.371843333072,COMPLETED,Regular savings transaction
SAV_TXN_1003,SAV_1000,2023-10-14,2023-10-14,DEPOSIT,673.0829965124307,18459.752632562766,COMPLETED,Regular savings transaction
SAV_TXN_1004,SAV_1000,2023-12-02,2023-12-02,DEPOSIT,3322.879450602918,1702.7383614197859,COMPLETED,Regular savings transaction
SAV_TXN_1005,SAV_1000,2023-05-07,2023-05-07,DEPOSIT,558.9158886013362,1580.1848148511888,COMPLETED,Regular savings transaction
SAV_TXN_1006,SAV_1000,2023-08-11,2023-08-11,INTEREST,780.6992407311,19375.671554612294,COMPLETED,Regular savings transaction
SAV_TXN_1007,SAV_1000,2023-04-05,2023-04-05,TRANSFER,230.12434020083123,3893.9173851417545,COMPLETED,Regular savings transaction
SAV_TXN_1008,SAV_1000,2023-10-20,2023-10-20,INTEREST,454.4727421541214,24265.789627419374,COMPLETED,Regular savings transaction
SAV_TXN_1009,SAV_1000,2023-08-24,2023-08-24,TRANSFER,906.1416342335568,21562.242395944086,COMPLETED,Regular savings transaction
SAV_TXN_1010,SAV_1000,2023-06-14,2023-06-14,INTEREST,233.5654560614424,2172.202546544493,COMPLETED,Regular savings transaction
SAV_TXN_1011,SAV_1000,2023-11-06,2023-11-06,WITHDRAWAL,928.7772332408824,39815.13656830838,COMPLETED,Regular savings transaction
SAV_TXN_1012,SAV_1000,2023-04-01,2023-04-01,DEPOSIT,898.3897406162458,2784.339633481952,COMPLETED,Regular savings transaction
SAV_TXN_1013,SAV_1000,2023-11-23,2023-11-23,INTEREST,243.95184906627068,12581.795319276229,COMPLETED,Regular savings transaction
SAV_TXN_1014,SAV_1000,2023-01-08,2023-01-08,WITHDRAWAL,472.8070541173358,5764.104313997458,COMPLETED,Regular savings transaction
SAV_TXN_1015,SAV_1000,2023-09-22,2023-09-22,WITHDRAWAL,1339.7210666226683,91231.34984862579,COMPLETED,Regular savings transaction
SAV_TXN_1016,SAV_1000,2023-01-18,2023-01-18,INTEREST,383.97228228218336,937.636012787356,COMPLETED,Regular savings transaction
SAV_TXN_1017,SAV_1000,2023-10-13,2023-10-13,INTEREST,254.20128709713862,1296.017325392049,COMPLETED,Regular savings transaction
SAV_TXN_1018,SAV_1000,2023-05-19,2023-05-19,DEPOSIT,201.92028676603942,7821.407704571963,COMPLETED,Regular savings transaction
SAV_TXN_1019,SAV_1000,2023-01-07,2023-01-07,INTEREST,598.1066109165022,57936.935882241,COMPLETED,Regular savings transaction
SAV_TXN_1020,SAV_1000,2023-11-14,2023-11-14,TRANSFER,228.8517088058366,2242.7462677401727,COMPLETED,Regular savings transaction
SAV_TXN_1021,SAV_1000,2023-02-06,2023-02-06,INTEREST,232.3275792965486,2599.7001022948275,COMPLETED,Regular savings transaction
SAV_TXN_1022,SAV_1000,2023-05-20,2023-05-20,WITHDRAWAL,282.3553152444304,12600.553766176537,COMPLETED,Regular savings transaction
SAV_TXN_1023,SAV_1000,2023-04-18,2023-04-18,INTEREST,218.527630870654,4486.321305168321,COMPLETED,Regular savings transaction
SAV_TXN_1024,SAV_1000,2023-08-22,2023-08-22,WITHDRAWAL,49.409956484566464,5081.47300727036,COMPLETED,Regular savings transaction
SAV_TXN_1025,SAV_1000,2023-09-15,2023-09-15,TRANSFER,991.2203317980153,3257.4772459012365,COMPLETED,Regular savings transaction
SAV_TXN_1026,SAV_1000,2023-10-19,2023-10-19,INTEREST,543.5486623523528,7649.157835821285,COMPLETED,Regular savings transaction
SAV_TXN_1027,SAV_1000,2023-03-07,2023-03-07,TRANSFER,1227.921784817667,4584.290775967986,COMPLETED,Regular savings transaction
SAV_TXN_1028,SAV_1000,2023-06-01,2023-06-01,TRANSFER,128.51400920287247,4932.772269174506,COMPLETED,Regular savings transaction
SAV_TXN_1029,SAV_1000,2023-06-22,2023-06-22,INTEREST,179.63630707999934,3548.610904802492,COMPLETED,Regular savings transaction
SAV_TXN_1030,SAV_1000,2023-10-31,2023-10-31,DEPOSIT,703.332518291492,15247.587363762581,COMPLETED,Regular savings transaction
SAV_TXN_1031,SAV_1000,2023-10-25,2023-10-25,INTEREST,952.6092679231613,10380.923280043608,COMPLETED,Regular savings transaction
SAV_TXN_1032,SAV_1000,2023-06-19,2023-06-19,DEPOSIT,130.93334403640426,6327.634464833554,COMPLETED,Regular savings transaction
SAV_TXN_1033,SAV_1000,2023-04-12,2023-04-12,TRANSFER,518.1248079652,10835.397586257353,COMPLETED,Regular savings transaction
SAV_TXN_1034,SAV_1000,2023-03-17,2023-03-17,DEPOSIT,2952.413398621783,1768.4525384610747,COMPLETED,Regular savings transaction
SAV_TXN_1035,SAV_1000,2023-07-06,2023-07-06,WITHDRAWAL,334.5956945483271,6449.048621241663,COMPLETED,Regular savings transaction
SAV_TXN_1036,SAV_1000,2023-06-26,2023-06-26,DEPOSIT,149.08485463839747,3166.2009501645307,COMPLETED,Regular savings transaction
SAV_TXN_1037,SAV_1000,2023-11-25,2023-11-25,WITHDRAWAL,436.2665244583026,17326.966178938004,COMPLETED,Regular savings transaction
SAV_TXN_1038,SAV_1000,2023-05-24,2023-05-24,DEPOSIT,80.54811070259167,1739.7399779678663,COMPLETED,Regular savings transaction
SAV_TXN_1039,SAV_1000,2023-02-06,2023-02-06,DEPOSIT,181.37813995558622,7735.356619879473,COMPLETED,Regular savings transaction
SAV_TXN_1040,SAV_1000,2023-04-23,2023-04-23,WITHDRAWAL,234.04952092597975,21814.39423040204,COMPLETED,Regular savings transaction
SAV_TXN_1041,SAV_1000,2023-03-05,2023-03-05,TRANSFER,486.8590852566677,3716.152067827853,COMPLETED,Regular savings transaction
SAV_TXN_1042,SAV_1000,2023-10-04,2023-10-04,WITHDRAWAL,199.31521516774495,7867.713154087232,COMPLETED,Regular savings transaction
SAV_TXN_1043,SAV_1000,2023-09-16,2023-09-16,WITHDRAWAL,275.8337898281923,9509.07830541888,COMPLETED,Regular savings transaction
SAV_TXN_1044,SAV_1000,2023-09-27,2023-09-27,WITHDRAWAL,867.0223497162234,9352.30719710254,COMPLETED,Regular savings transaction
SAV_TXN_1045,SAV_1000,2023-04-12,2023-04-12,INTEREST,160.69478764618367,16286.39852002345,COMPLETED,Regular savings transaction
SAV_TXN_1046,SAV_1000,2023-04-13,2023-04-13,DEPOSIT,540.3912372861005,20896.00363535976,COMPLETED,Regular savings transaction
SAV_TXN_1047,SAV_1000,2023-01-22,2023-01-22,TRANSFER,178.4988542972331,6023.155911196651,COMPLETED,Regular savings transaction
SAV_TXN_1048,SAV_1000,2023-12-04,2023-12-04,TRANSFER,1586.1304450561536,1238.208659766543,COMPLETED,Regular savings transaction
